rank,tool,command_hint,type,access,description,homepage,license
1644,libmatio,libmatio,library/runtime,local-installable,C library for reading and writing MATLAB MAT files,https://matio.sourceforge.net/,BSD-2-Clause
1646,python-gdbm@3.11,python3,cli,local-installable,Python interface to gdbm,https://www.python.org/,Python-2.0
1648,xmake,xmake,cli,local-installable,Cross-platform build utility based on Lua,https://xmake.io/,Apache-2.0
1649,llvm@17,llvm,cli,local-installable,Next-gen compiler infrastructure,https://llvm.org/,Apache-2.0 WITH LLVM-exception
1652,glog,glog,library/runtime,local-installable,Application-level logging library,https://google.github.io/glog/stable/,BSD-3-Clause
1657,pyside,pyside,library/runtime,local-installable,Official Python bindings for Qt,https://wiki.qt.io/Qt_for_Python,(GPL-3.0-only WITH Qt-GPL-exception-1.0) AND (LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only)
1658,leveldb,leveldb,library/runtime,local-installable,Key-value storage library with ordered mapping,https://github.com/google/leveldb/,BSD-3-Clause
1660,simdjson,simdjson,cli,local-installed,SIMD-accelerated C++ JSON parser,https://simdjson.org,Apache-2.0
1664,libdeflate,libdeflate,cli,local-installable,Heavily optimized DEFLATE/zlib/gzip compression and decompression,https://github.com/ebiggers/libdeflate,MIT
1674,x86_64-linux-gnu-binutils,x86_64-linux-gnu-binutils,cli,local-installable,GNU Binutils for x86_64-linux-gnu cross development,https://www.gnu.org/software/binutils/binutils.html,GPL-3.0-or-later
1690,extra-cmake-modules,extra-cmake-modules,cli,local-installable,Extra modules and scripts for CMake,https://api.kde.org/ecm/,BSD-2-Clause AND BSD-3-Clause AND MIT
1691,jinja2-cli,jinja2-cli,cli,local-installable,CLI for the Jinja2 templating language,https://github.com/mattrobenolt/jinja2-cli,BSD-2-Clause
1698,libmemcached,libmemcached,library/runtime,local-installable,C and C++ client library to the memcached server,https://libmemcached.org/,BSD-3-Clause
1703,json-glib,json-glib,library/runtime,local-installable,"Library for JSON, based on GLib",https://wiki.gnome.org/Projects/JsonGlib,LGPL-2.1-or-later
1711,protoc-gen-grpc-web,protoc-gen-grpc-web,cli,local-installable,Protoc plugin that generates code for gRPC-Web clients,https://github.com/grpc/grpc-web,Apache-2.0
1715,cppzmq,cppzmq,library/runtime,local-installable,Header-only C++ binding for libzmq,https://www.zeromq.org,MIT
1716,libplist,libplist,library/runtime,local-installable,Library for Apple Binary- and XML-Property Lists,https://libimobiledevice.org/,LGPL-2.1-or-later
1722,libcbor,libcbor,cli,local-installable,CBOR protocol implementation for C and others,https://github.com/PJK/libcbor,MIT
1724,yosys,yosys,cli,local-installable,Framework for Verilog RTL synthesis,https://yosyshq.net/yosys/,ISC
1726,vegeta,vegeta,library/runtime,local-installable,HTTP load testing tool and library,https://github.com/tsenart/vegeta,MIT
1727,gtk-mac-integration,gtk-mac-integration,cli,local-installable,Integrates GTK macOS applications with the Mac desktop,https://www.gtk.org/docs/installations/macos,LGPL-2.1-only
1729,ghcup,ghcup,cli,local-installable,Installer for the general purpose language Haskell,https://www.haskell.org/ghcup/,LGPL-3.0-only
1736,libmaxminddb,libmaxminddb,library/runtime,local-installable,C library for the MaxMind DB file format,https://github.com/maxmind/libmaxminddb,Apache-2.0
1740,wxmaxima,wxmaxima,cli,local-installable,Cross platform GUI for Maxima,https://wxmaxima-developers.github.io/wxmaxima/,GPL-2.0-or-later
1745,xorgproto,xorgproto,cli,local-installable,X.Org: Protocol Headers,https://www.x.org/,MIT
1750,maturin,maturin,cli,local-installable,Build and publish Rust crates as Python packages,https://github.com/PyO3/maturin,Apache-2.0 OR MIT
